sku,tipo_produto,data,prazo_entrega,tempo_entrega,nivel_estoque,qtd_vendida,preco_unitario,receita,otd_flag
SKU0000,Medicamentos,2020-01-01,2.4,3.6,214,49,80,3920,0
SKU0001,OPME,2020-01-02,4.0,2.8,202,47,12000,564000,1
SKU0002,Cosméticos Médicos,2020-01-03,1.0,1.0,196,29,150,4350,1
SKU0003,OPME,2020-01-04,1.0,1.0,207,34,12000,408000,1
SKU0004,OPME,2020-01-05,1.0,1.0,206,54,12000,648000,1
SKU0005,Endoscópios,2020-01-06,5.0,8.3,222,56,5000,280000,0
SKU0006,Cosméticos Médicos,2020-01-07,1.0,1.0,176,29,150,4350,1
SKU0007,Cosméticos Médicos,2020-01-08,3.5,3.7,211,43,150,6450,0
SKU0008,Cosméticos Médicos,2020-01-09,3.5,5.0,200,22,150,3300,0
SKU0009,OPME,2020-01-10,1.0,1.0,190,26,12000,312000,1
SKU0010,Medicamentos,2020-01-11,1.9,2.1,221,43,80,3440,0
SKU0011,Cosméticos Médicos,2020-01-12,3.4,4.8,208,24,150,3600,0
SKU0012,OPME,2020-01-13,1.0,1.0,177,47,12000,564000,1
SKU0013,Endoscópios,2020-01-14,1.0,5.2,192,46,5000,230000,0
SKU0014,Medicamentos,2020-01-15,1.0,1.0,189,54,80,4320,1
SKU0015,Endoscópios,2020-01-16,1.0,1.1,189,45,5000,225000,0
SKU0016,Medicamentos,2020-01-17,1.0,1.0,182,52,80,4160,1
SKU0017,OPME,2020-01-18,1.0,1.0,203,42,12000,504000,1
SKU0018,Suturas,2020-01-19,1.5,2.7,194,42,50,2100,0
SKU0019,Medicamentos,2020-01-20,1.0,1.0,221,65,80,5200,1
SKU0020,Endoscópios,2020-01-21,1.5,1.9,193,44,5000,220000,0
SKU0021,OPME,2020-01-22,1.0,1.0,183,19,12000,228000,1
SKU0022,Medicamentos,2020-01-23,1.5,2.4,194,47,80,3760,0
SKU0023,Suturas,2020-01-24,2.7,4.2,189,53,50,2650,0
SKU0024,Suturas,2020-01-25,1.0,1.0,182,47,50,2350,1
SKU0025,Cosméticos Médicos,2020-01-26,1.6,3.1,205,44,150,6600,0
SKU0026,Cosméticos Médicos,2020-01-27,2.8,3.4,202,47,150,7050,0
SKU0027,Endoscópios,2020-01-28,1.0,1.0,206,61,5000,305000,1
SKU0028,Medicamentos,2020-01-29,3.5,2.2,218,25,80,2000,1
SKU0029,Medicamentos,2020-01-30,1.6,1.0,208,48,80,3840,1
SKU0030,Cosméticos Médicos,2020-01-31,1.0,1.7,195,30,150,4500,0
SKU0031,Medicamentos,2020-02-01,1.0,3.1,202,46,80,3680,0
SKU0032,Medicamentos,2020-02-02,1.8,1.5,213,47,80,3760,1
SKU0033,Suturas,2020-02-03,1.5,2.2,207,27,50,1350,0
SKU0034,Cosméticos Médicos,2020-02-04,1.8,1.0,202,28,150,4200,1
SKU0035,OPME,2020-02-05,1.0,1.3,207,46,12000,552000,0
SKU0036,Cosméticos Médicos,2020-02-06,1.3,2.3,214,26,150,3900,0
SKU0037,OPME,2020-02-07,1.0,1.9,203,31,12000,372000,0
SKU0038,Suturas,2020-02-08,1.2,1.0,195,52,50,2600,1
SKU0039,Endoscópios,2020-02-09,1.0,1.0,198,32,5000,160000,1
SKU0040,Medicamentos,2020-02-10,1.0,1.0,226,44,80,3520,1
SKU0041,Suturas,2020-02-11,3.3,5.5,207,59,50,2950,0
SKU0042,Medicamentos,2020-02-12,2.6,2.3,178,25,80,2000,1
SKU0043,Endoscópios,2020-02-13,2.0,1.0,209,37,5000,185000,1
SKU0044,Endoscópios,2020-02-14,1.0,1.0,217,48,5000,240000,1
